% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 21.34    0.000427          12        34           getdents64
 14.79    0.000296           9        32         1 openat
 13.94    0.000279           7        35           close
  9.00    0.000180           6        30           fstat
  6.45    0.000129           5        24           read
  6.45    0.000129          12        10           statx
  3.50    0.000070          17         4         4 connect
  3.20    0.000064          10         6         3 listxattr
  3.05    0.000061          10         6         4 ioctl
  2.80    0.000056           7         8           mprotect
  2.70    0.000054           6         9           rt_sigaction
  2.60    0.000052          13         4           socket
  2.30    0.000046          11         4           newfstatat
  2.00    0.000040           6         6           brk
  1.45    0.000029           5         5           lseek
  1.30    0.000026          13         2           munmap
  0.95    0.000019           6         3           sigaltstack
  0.65    0.000013          13         1           readlink
  0.60    0.000012          12         1           write
  0.50    0.000010          10         1           prctl
  0.45    0.000009           9         1           gettid
  0.00    0.000000           0         1           poll
  0.00    0.000000           0        27           mmap
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         2         1 statfs
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.002001           7       272        15 total
